year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate
2025,Avadi,city,31,36,13.6,1,1,0.2,254,261,109.8
2025,Chennai,city,194,196,1.7,20,20,0.2,1108,1121,9.9
2025,Coimbatore City,city,41,43,2.0,2,2,0.1,585,598,28.2
2025,Madurai City,city,50,52,3.4,0,0,0.0,360,382,24.4
2025,Salem City,city,14,14,2.9,0,0,0.0,119,120,24.5
2025,Tambaram,city,28,28,6.3,2,2,0.4,282,282,64.2
2025,Thirunelveli City,city,9,9,3.4,0,0,0.0,53,53,19.2
2025,Tiruppur City,city,13,13,5.1,0,0,0.0,85,87,32.7
2025,Trichy City,city,10,10,2.1,0,0,0.0,88,93,17.7
2025,Ariyalur,district,9,9,2.0,1,1,0.1,101,105,22.9
2025,Chengalpattu,district,17,18,1.3,4,5,0.3,216,233,16.1
2025,Coimbatore,district,96,96,2.0,13,13,0.3,1449,1500,30.5
2025,Cuddalore,district,29,29,1.9,1,1,0.1,298,319,19.5
2025,Dharmapuri,district,13,13,1.4,2,2,0.2,194,194,21.9
2025,Dindigul,district,34,35,2.7,5,5,0.4,402,402,31.7
2025,Erode,district,20,21,1.5,2,2,0.1,362,378,27.4
2025,Kallakurichi,district,13,15,1.5,2,2,0.2,157,171,19.2
2025,Kanchipuram,district,20,20,3.7,0,0,0.0,162,167,30.4
2025,Kanyakumari,district,17,18,1.6,6,7,0.5,180,195,16.4
2025,Karur,district,10,10,1.6,1,1,0.1,193,198,30.8
2025,Krishnagiri,district,32,35,2.9,1,1,0.0,398,449,36.1
2025,Madurai,district,86,87,2.9,4,4,0.1,782,782,26.7
2025,Mayiladuthurai,district,9,10,1.0,5,5,0.5,138,142,15.4
2025,Nagapattinam,district,8,8,2.0,2,2,0.4,70,103,17.1
2025,Namakkal,district,19,20,1.9,0,0,0.0,306,353,30.2
2025,Nilgiris,district,6,6,1.3,1,1,0.1,34,34,7.8
2025,Perambalur,district,7,7,2.0,0,0,0.0,94,114,28.4
2025,Pudukottai,district,16,16,1.7,2,2,0.2,233,233,24.5
2025,Ramnathapuram,district,20,20,2.5,2,2,0.3,221,233,27.9
2025,Ranipet,district,12,14,1.7,1,1,0.1,145,155,20.6
2025,Salem,district,25,25,1.6,3,3,0.2,296,315,19.0
2025,Sivagangai,district,23,25,2.9,1,1,0.1,210,242,26.7
2025,Tenkasi,district,21,24,2.6,2,2,0.2,131,142,15.6
2025,Thanjavur,district,28,28,2.0,2,2,0.2,323,334,22.9
2025,Theni,district,25,25,3.5,3,3,0.5,177,184,24.2
2025,Thirunelveli,district,26,26,3.7,1,1,0.2,166,175,24.0
2025,Thiruvallur,district,16,16,1.2,4,4,0.3,163,172,11.8
2025,Thiruvannamalai,district,19,19,1.3,4,4,0.3,356,408,24.7
2025,Thiruvarur,district,10,10,1.3,2,2,0.3,121,124,16.3
2025,Thoothukudi,district,41,41,4.0,4,6,0.4,258,273,25.1
2025,Tiruppattur,district,10,10,1.5,2,12,0.3,110,131,15.9
2025,Tiruppur,district,17,17,1.4,1,1,0.0,394,395,33.0
2025,Trichy,district,25,25,2.3,1,1,0.1,290,305,26.4
2025,Vellore,district,13,13,1.4,7,7,0.8,172,172,18.8
2025,Villupuram,district,19,21,1.6,4,4,0.3,285,301,23.6
2025,Virudhunagar,district,34,38,2.9,0,0,0.0,257,299,22.5
2025,Cyber Cell,special_unit,0,0,,0,0,,0,0,
2025,Other Units,special_unit,0,0,,0,0,,0,0,
2025,Railway Chennai,special_unit,15,15,,0,0,,2,2,
2025,Railway Trichy,special_unit,1,1,,1,1,,0,0,
